id;source_service;event_id;event_type;payload;status;received_at;processed_at;error_message
1;out safely;tenant off bob;pants vastly;../fake-data/blob/hipster.txt;RECEIVED;2026-06-05T14:34:28;2026-06-06T01:09:17;notwithstanding
2;near;frenetically ugh creative;where;../fake-data/blob/hipster.txt;FAILED;2026-06-05T12:25:40;2026-06-05T08:50:23;lest
3;stall;and;fluff furthermore frank;../fake-data/blob/hipster.txt;PROCESSED;2026-06-05T05:42:10;2026-06-06T02:56:34;kiddingly
4;scratch;aw typeface;so drat until;../fake-data/blob/hipster.txt;PROCESSED;2026-06-05T14:52:30;2026-06-05T07:29:49;fencing times
5;wherever uselessly;slipper;circa kaleidoscopic;../fake-data/blob/hipster.txt;FAILED;2026-06-05T07:29:54;2026-06-06T05:06:51;messy when
6;as unless excluding;near hence unless;sunbeam;../fake-data/blob/hipster.txt;FAILED;2026-06-06T04:40:16;2026-06-05T05:47:38;gah
7;after;ha shakily;excluding;../fake-data/blob/hipster.txt;RECEIVED;2026-06-06T02:35:44;2026-06-05T12:42:32;deed
8;anti indeed sternly;how remorseful;what loaf;../fake-data/blob/hipster.txt;RECEIVED;2026-06-05T20:27:07;2026-06-05T07:47:11;travel bony
9;unless wonderfully for;politely;ecstatic damaged aw;../fake-data/blob/hipster.txt;RECEIVED;2026-06-05T18:33:23;2026-06-05T22:34:44;quicker
10;evenly;save ack;unlike;../fake-data/blob/hipster.txt;PROCESSED;2026-06-05T14:38:40;2026-06-05T11:55:23;demob permafrost
