id;ticket_type_id;ticket_type_name;quantity;unit_price;total_price;created_at;booking_id
1;23668;greedily;21645;26472.37;11123.5;2026-06-06T01:34:43;1
2;21474;ouch reclassify deceivingly;31207;12271.75;31673.8;2026-06-05T11:21:27;2
3;4434;fairly;32607;19042.85;16173.62;2026-06-05T14:51:11;3
4;5392;government athwart;6779;10145.83;5185.51;2026-06-06T02:33:03;4
5;28436;boohoo excited furthermore;22307;20139.49;17901.71;2026-06-05T23:18:54;5
6;22911;oh down though;8768;25966.41;15094.7;2026-06-05T20:02:42;6
7;5183;through dreary till;2313;28523.48;15688.28;2026-06-06T01:17:09;7
8;31986;scarcely;8818;3830.07;18218.77;2026-06-05T13:07:10;8
9;28346;gah;22717;17789.71;25930.62;2026-06-06T04:57:34;9
10;5175;gee;1414;31747.78;23194.31;2026-06-05T07:53:36;10
