id;aggregate_type;aggregate_id;event_type;payload;status;created_at;published_at;error_message
1;cow affiliate;meh;geez;../fake-data/blob/hipster.txt;PENDING;2026-06-05T14:59:54;2026-06-05T12:39:30;till
2;abscond;flashy defenseless modulo;provided;../fake-data/blob/hipster.txt;FAILED;2026-06-06T03:53:38;2026-06-05T21:04:50;bah mom celebrated
3;gee;netsuke;unless finally thoroughly;../fake-data/blob/hipster.txt;PENDING;2026-06-05T17:39:12;2026-06-05T22:01:50;impossible qua vainly
4;unhappy;mmm which;meanwhile rot forenenst;../fake-data/blob/hipster.txt;FAILED;2026-06-05T18:03:49;2026-06-06T05:31:30;needily across
5;that mask;reasoning among pish;provided farm;../fake-data/blob/hipster.txt;FAILED;2026-06-05T14:04:47;2026-06-05T10:00:00;enhance instead
6;shred coordination pro;er stiffen;knowingly;../fake-data/blob/hipster.txt;PUBLISHED;2026-06-05T14:25:24;2026-06-05T05:53:03;outset atop likewise
7;oof;wherever;exempt lend fen;../fake-data/blob/hipster.txt;PUBLISHED;2026-06-05T18:53:59;2026-06-06T04:12:09;drat justly
8;doubtfully spirited;unscramble;er towards;../fake-data/blob/hipster.txt;FAILED;2026-06-05T15:12:34;2026-06-05T22:36:22;aw piglet inconsequential
9;as neatly eek;hmph via bah;exasperation redress;../fake-data/blob/hipster.txt;PENDING;2026-06-05T05:39:21;2026-06-05T16:25:08;unethically
10;although yahoo jaywalk;deliquesce silently;so;../fake-data/blob/hipster.txt;FAILED;2026-06-05T06:06:17;2026-06-06T02:04:57;since um
