id;old_status;new_status;reason;created_at;booking_id
1;PAYMENT_FAILED;EXPIRED;where furthermore bookend;2026-06-06T01:41:01;1
2;PENDING_PAYMENT;PAID;sarong hoot always;2026-06-05T09:20:04;2
3;PAID;PAID;even bungalow;2026-06-05T16:40:17;3
4;PENDING_PAYMENT;PAID;circa;2026-06-05T08:49:08;4
5;PAID;PAID;why different;2026-06-05T06:00:30;5
6;CANCELLED;CANCELLED;from while gah;2026-06-05T11:17:42;6
7;PENDING_PAYMENT;EXPIRED;and swordfish illustrious;2026-06-06T01:42:52;7
8;PAYMENT_FAILED;CANCELLED;uh-huh jumbo an;2026-06-05T20:01:15;8
9;EXPIRED;CANCELLED;pfft;2026-06-05T14:58:44;9
10;PAID;PENDING_PAYMENT;although;2026-06-05T08:59:37;10
