id;title;description;location;start_time;end_time;banner_url;status;created_at;updated_at;organizer_id
1;so;../fake-data/blob/hipster.txt;circa substitution;2026-06-05T10:59:15;2026-06-06T04:05:41;stingy excepting;ENDED;2026-06-05T21:06:53;2026-06-06T00:05:51;1
2;yowza till warming;../fake-data/blob/hipster.txt;youthfully starboard;2026-06-05T08:31:43;2026-06-06T01:05:31;decouple over whether;DRAFT;2026-06-05T17:29:02;2026-06-05T14:15:46;2
3;usually till;../fake-data/blob/hipster.txt;councilman lively fast;2026-06-05T20:45:38;2026-06-05T06:00:20;verbally draw;PUBLISHED;2026-06-05T08:53:57;2026-06-05T12:01:52;3
4;authorized boo deliquesce;../fake-data/blob/hipster.txt;though upon cantaloupe;2026-06-05T07:34:06;2026-06-05T13:21:46;oh siege;PUBLISHED;2026-06-05T13:03:29;2026-06-05T13:29:47;4
5;sometimes pixellate scuttle;../fake-data/blob/hipster.txt;yet under better;2026-06-05T14:40:32;2026-06-05T06:21:53;kiddingly;PUBLISHED;2026-06-06T03:59:34;2026-06-05T21:02:51;5
6;lovely mask disarm;../fake-data/blob/hipster.txt;toady strictly;2026-06-05T16:26:45;2026-06-05T23:46:18;lest sadly;CANCELLED;2026-06-05T21:33:20;2026-06-05T10:02:25;6
7;between woot immediate;../fake-data/blob/hipster.txt;finally throughout;2026-06-05T06:25:50;2026-06-05T05:46:37;jealous mozzarella christen;ENDED;2026-06-06T03:19:23;2026-06-06T00:02:44;7
8;psst;../fake-data/blob/hipster.txt;mealy oof;2026-06-06T03:45:12;2026-06-05T21:17:19;tool thin;DRAFT;2026-06-06T04:52:45;2026-06-05T17:04:13;8
9;given husky cleverly;../fake-data/blob/hipster.txt;badly considering;2026-06-05T06:02:12;2026-06-05T14:04:10;finally likewise;ENDED;2026-06-05T18:26:25;2026-06-05T18:45:59;9
10;until;../fake-data/blob/hipster.txt;acidly shrilly;2026-06-05T15:03:59;2026-06-06T02:29:32;via drat;PUBLISHED;2026-06-05T14:23:33;2026-06-05T10:09:46;10
