id;booking_id;user_id;quantity;status;expires_at;created_at;updated_at;ticket_type_id
1;18315;31187;10101;HELD;2026-06-05T18:31:35;2026-06-06T04:52:27;2026-06-05T22:28:22;1
2;2011;25726;21387;HELD;2026-06-05T19:57:49;2026-06-05T17:57:15;2026-06-06T04:14:18;2
3;30303;3125;28715;RELEASED;2026-06-05T13:57:46;2026-06-05T08:18:20;2026-06-05T15:18:55;3
4;25755;27755;11282;RELEASED;2026-06-05T20:14:07;2026-06-05T09:55:51;2026-06-06T02:49:45;4
5;8520;10988;16851;RELEASED;2026-06-05T17:46:00;2026-06-05T22:05:17;2026-06-05T23:57:38;5
6;18399;5797;19429;EXPIRED;2026-06-05T08:21:40;2026-06-06T05:21:45;2026-06-06T00:48:14;6
7;31147;14400;23192;CONFIRMED;2026-06-05T21:08:24;2026-06-05T21:55:05;2026-06-05T11:16:10;7
8;29501;10594;23842;CONFIRMED;2026-06-05T20:33:10;2026-06-05T16:02:20;2026-06-06T01:31:04;8
9;26376;7567;14016;CONFIRMED;2026-06-05T12:40:35;2026-06-06T02:43:54;2026-06-05T09:04:04;9
10;12206;9062;26108;HELD;2026-06-06T04:17:29;2026-06-05T07:07:20;2026-06-05T10:53:20;10
