id;booking_id;user_id;amount;currency;status;paid_at;failed_at;expired_at;created_at;updated_at
1;32279;7396;8.29;yet stuff ;FAILED;2026-06-05T13:23:47;2026-06-06T01:23:35;2026-06-05T11:51:06;2026-06-05T10:08:34;2026-06-05T12:08:20
2;7195;26386;32189.76;within;PENDING;2026-06-05T16:00:42;2026-06-05T17:24:48;2026-06-06T03:20:39;2026-06-05T05:34:09;2026-06-06T05:00:38
3;17057;1139;10773.25;provided w;SUCCESS;2026-06-05T14:36:28;2026-06-05T08:28:27;2026-06-05T11:00:39;2026-06-05T14:10:12;2026-06-05T06:42:53
4;31862;10150;12758.91;hourly ver;SUCCESS;2026-06-05T09:39:16;2026-06-05T08:18:21;2026-06-05T13:42:14;2026-06-06T04:13:32;2026-06-05T15:17:43
5;13437;18531;28773.12;carefree;FAILED;2026-06-06T00:33:04;2026-06-05T20:59:49;2026-06-05T15:35:45;2026-06-05T11:01:48;2026-06-05T14:00:02
6;4763;14762;29847.49;rundown th;SUCCESS;2026-06-05T22:49:17;2026-06-05T19:21:41;2026-06-06T02:55:10;2026-06-05T22:49:25;2026-06-05T11:51:01
7;6199;20724;12314.72;scorpion;CANCELLED;2026-06-05T09:58:17;2026-06-05T22:20:40;2026-06-05T19:16:18;2026-06-05T16:11:55;2026-06-05T09:25:38
8;25824;28292;126.67;hence usua;SUCCESS;2026-06-05T18:33:16;2026-06-05T19:31:15;2026-06-05T15:58:25;2026-06-05T09:37:00;2026-06-06T03:34:14
9;30024;4595;16816.51;gadzooks s;SUCCESS;2026-06-05T20:09:31;2026-06-05T05:49:46;2026-06-05T18:00:07;2026-06-05T20:58:33;2026-06-06T00:31:54
10;30050;12269;16710.95;loyalty ju;CANCELLED;2026-06-05T22:10:51;2026-06-05T22:03:05;2026-06-05T22:41:03;2026-06-05T13:05:55;2026-06-05T14:57:21
