id;aggregate_type;aggregate_id;event_type;payload;status;created_at;published_at;error_message
1;proper yahoo ugh;swing;hopelessly pro tuxedo;../fake-data/blob/hipster.txt;PENDING;2026-06-06T00:58:08;2026-06-05T07:52:04;inside authentic flawed
2;belabor joy;aw onto advanced;duster;../fake-data/blob/hipster.txt;FAILED;2026-06-05T10:48:15;2026-06-06T02:18:27;gadzooks neglect sick
3;legging crossly;yowza athletic splosh;observe;../fake-data/blob/hipster.txt;FAILED;2026-06-06T00:14:24;2026-06-06T00:07:36;frightfully
4;imagineer;ha finally shoot;gadzooks yowza;../fake-data/blob/hipster.txt;PENDING;2026-06-05T07:11:26;2026-06-05T15:11:28;bright though far
5;section ick appliance;within;kookily international extent;../fake-data/blob/hipster.txt;FAILED;2026-06-05T18:30:24;2026-06-06T03:17:39;highlight unfortunately eke
6;towards finally surge;opposite shrilly scram;yippee settler because;../fake-data/blob/hipster.txt;PENDING;2026-06-05T10:14:14;2026-06-05T09:59:12;make devoted
7;aha fiercely scarper;violently extremely;scenario deny diagram;../fake-data/blob/hipster.txt;PENDING;2026-06-06T04:41:34;2026-06-05T11:46:49;swerve while
8;deck responsible gosh;phooey;last bah;../fake-data/blob/hipster.txt;PUBLISHED;2026-06-06T00:22:57;2026-06-05T16:07:06;nougat officially
9;yeast tapioca;nor;actual;../fake-data/blob/hipster.txt;PENDING;2026-06-05T15:00:20;2026-06-05T23:20:03;prime ill amend
10;inquisitively;nor;at beneficial;../fake-data/blob/hipster.txt;PENDING;2026-06-05T15:41:45;2026-06-05T09:23:05;excepting gaseous
