id;ticket_code;staff_id;event_id;result;message;checked_in_at
1;under;27566;28631;CANCELLED_TICKET;never enlist above;2026-06-05T11:49:01
2;censor greatly below;22468;2360;ALREADY_CHECKED_IN;during;2026-06-06T00:14:32
3;yum unlawful volleyball;18530;1767;INVALID_TICKET;burly;2026-06-05T11:48:37
4;so;8314;6428;VALID;indolent uh-huh aw;2026-06-05T16:16:37
5;cuckoo black;26126;3457;INVALID_TICKET;option up;2026-06-05T07:35:03
6;towards;7936;32718;INVALID_TICKET;from hope;2026-06-05T21:40:29
7;haircut;32647;15355;CANCELLED_TICKET;modulo;2026-06-05T17:27:36
8;factorize growing;603;12480;VALID;portray cash frivolous;2026-06-06T04:09:36
9;jellyfish sadly dutiful;3941;17334;ALREADY_CHECKED_IN;plus;2026-06-05T11:30:32
10;yuck whoever;26898;9203;CANCELLED_TICKET;gee circulate phew;2026-06-06T00:19:23
